seed_rank,batch_slot,benchmark_id,target_id,scope,prediction_pdb,native_pdb,no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,current_casp17_target,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref,notes
1,1,hist_seed_bba5,HIST_BBA5,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,data/native/bba5.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
2,2,hist_seed_chignolin,HIST_CHIGNOLIN,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,data/native/chignolin.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
3,3,hist_seed_crambin,HIST_CRAMBIN,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,data/native/crambin.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
4,4,hist_seed_fsd_1,HIST_FSD_1,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,data/native/fsd_1.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
5,5,hist_seed_gb1_mini,HIST_GB1_MINI,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,data/native/gb1_mini.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
6,6,hist_seed_protein_a_bdomain,HIST_PROTEIN_A_BDOMAIN,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,data/native/protein_a_bdomain.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
7,7,hist_seed_trp_cage,HIST_TRP_CAGE,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,data/native/trp_cage.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
8,8,hist_seed_ubiquitin_mini,HIST_UBIQUITIN_MINI,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,data/native/ubiquitin_mini.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
9,9,hist_seed_villin_hp35,HIST_VILLIN_HP35,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,data/native/villin_hp35.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
10,10,hist_seed_ww_domain_fip35,HIST_WW_DOMAIN_FIP35,monomer,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,data/native/ww_domain_fip35.pdb,,REQUIRED_NO_LEAK_CLEARANCE,REQUIRED_OPERATOR_CLEARANCE,REQUIRED_OPERATOR_ID,YYYY-MM-DD,YYYY-MM-DD,REQUIRED_TRUE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,REQUIRED_FALSE_CONFIRMATION,false,REQUIRED_1_TO_5,REQUIRED_1_TO_5,REQUIRED_NATIVE_METRIC,REQUIRED_ORACLE_METRIC,REQUIRED_INTERNAL_SCORE,REQUIRED_ORACLE_SCORE,REQUIRED_ABLATION_MANIFEST_REF,operator must verify no-leak provenance before promotion
