target_id,benchmark_id,scope,field_name,field_group,operator_required,authoritative_candidate_value,weak_local_candidate_value,weak_local_candidate_source,repair_status,blockers,notes
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,no_leak_evidence_ref,clearance,True,,,,operator_evidence_required,"operator_evidence_required,independent_no_leak_evidence_ref_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,leakage_clearance,clearance,True,,,,operator_evidence_required,"operator_evidence_required,operator_clearance_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator_clearance,clearance,True,,,,operator_evidence_required,"operator_evidence_required,operator_clearance_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator,clearance,True,,,,operator_evidence_required,operator_evidence_required,manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,prediction_created_at,chronology,True,,2026-02-19,prediction_path_date,operator_evidence_required_with_weak_hint,"operator_evidence_required,authoritative_chronology_required,weak_local_candidate_not_clearance_authority",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,native_release_date,chronology,True,,2026-02-12,native_file_mtime_not_release_authority,operator_evidence_required_with_weak_hint,"operator_evidence_required,authoritative_chronology_required,weak_local_candidate_not_clearance_authority",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,prediction_generated_before_native_release,chronology,True,,,,operator_evidence_required,"operator_evidence_required,authoritative_chronology_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,public_template_or_native_used_for_prediction,negative_control,True,,,,operator_evidence_required,"operator_evidence_required,operator_negative_control_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,other_team_model_used,negative_control,True,,,,operator_evidence_required,"operator_evidence_required,operator_negative_control_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
HIST_CHIGNOLIN,hist_seed_chignolin,monomer,post_release_information_used,negative_control,True,,,,operator_evidence_required,"operator_evidence_required,operator_negative_control_required",manual no-leak provenance field; do not auto-fill from local timestamps or path names
