target_id,benchmark_id,scope,lane,field_name,current_value,proposed_value,evidence_source,candidate_status,blockers,notes
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,no_leak_evidence_ref,,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,leakage_clearance,REQUIRED_NO_LEAK_CLEARANCE,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,operator_clearance,REQUIRED_OPERATOR_CLEARANCE,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,operator,REQUIRED_OPERATOR_ID,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,prediction_created_at,YYYY-MM-DD,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,native_release_date,YYYY-MM-DD,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,prediction_generated_before_native_release,REQUIRED_TRUE_CONFIRMATION,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,public_template_or_native_used_for_prediction,REQUIRED_FALSE_CONFIRMATION,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,other_team_model_used,REQUIRED_FALSE_CONFIRMATION,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,no_leak_provenance,post_release_information_used,REQUIRED_FALSE_CONFIRMATION,,casp17/historical_seed_no_leak_provenance_dossiers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_no_leak_provenance.md,operator_required,operator_no_leak_evidence_required,"manual provenance field; local dossier is review context, not clearance"
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration,selected_model_rank,REQUIRED_1_TO_5,1,casp17/historical_seed_calibration_candidate_ledgers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_calibration_candidates.csv,proposed,,calibration candidate from internal/native review packet; apply after no-leak clearance
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration,best_model_rank,REQUIRED_1_TO_5,1,casp17/historical_seed_calibration_candidate_ledgers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_calibration_candidates.csv,proposed,,calibration candidate from internal/native review packet; apply after no-leak clearance
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration,selected_native_metric,REQUIRED_NATIVE_METRIC,100.000,casp17/historical_seed_calibration_candidate_ledgers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_calibration_candidates.csv,proposed,,calibration candidate from internal/native review packet; apply after no-leak clearance
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration,best_native_metric,REQUIRED_ORACLE_METRIC,100.000,casp17/historical_seed_calibration_candidate_ledgers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_calibration_candidates.csv,proposed,,calibration candidate from internal/native review packet; apply after no-leak clearance
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration,selected_score,REQUIRED_INTERNAL_SCORE,0.100,casp17/historical_seed_calibration_candidate_ledgers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_calibration_candidates.csv,proposed,,calibration candidate from internal/native review packet; apply after no-leak clearance
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration,best_score,REQUIRED_ORACLE_SCORE,0.100,casp17/historical_seed_calibration_candidate_ledgers/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_calibration_candidates.csv,proposed,,calibration candidate from internal/native review packet; apply after no-leak clearance
HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,ablation,ablation_manifest_ref,REQUIRED_ABLATION_MANIFEST_REF,,casp17/historical_seed_ablation_candidate_manifests/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_ablation_candidates.csv,blocked,ablation_layer_evidence_missing,ablation manifest ref candidate requires real layer evidence and operator review
