dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,current_value,recommended_value,intake_status,patch_status,blocker,dry_run_csv,dry_run_md,next_action
priority_010_REQUIRED_MONOMER_010,271,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,hist_REQUIRED_MONOMER_010,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,272,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,target_identity,target_id,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,REQUIRED_MONOMER_010,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,273,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_010_prediction.pdb,,awaiting_dropzone_file,awaiting_evidence,awaiting_dropzone_file,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,274,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_010_native.pdb,,awaiting_dropzone_file,awaiting_evidence,awaiting_dropzone_file,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,275,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,REQUIRED_NO_LEAK_CLEARANCE,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,276,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,REQUIRED_INTERNAL_METHOD,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,277,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,YYYY-MM-DD,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,278,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,YYYY-MM-DD,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,279,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,REQUIRED_TRUE_CONFIRMATION,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
priority_010_REQUIRED_MONOMER_010,280,10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_operator_value,awaiting_evidence,awaiting_operator_value,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/ROW_FILL_PATCH_DRY_RUN.md,"provide the missing cleared evidence, then rerun intake and this patch gate"
