family,target_id,candidate_tier,set_id,planned_task_id,required_artifact,proposed_repo_path,current_repo_signal,status,priority,notes
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set1_core_blind,non_kinase_enzyme_ca2_core_full,target_native_csv,config/real_drug_targets_blind_ca2_zn_v1.csv,structure_sources_special_metal + ood_measured20/40 present,todo,P0,"Add canonical native path, pdb_id, uniprot_id, pocket center, and metal-center notes for CA2."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set1_core_blind,non_kinase_enzyme_ca2_core_full,ligand_reference_csv,config/ligand_binding_reference_blind_ca2_zn_v1.csv,missing,todo,P0,"Need binders/non-binders and provenance frozen before execution."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set1_core_blind,non_kinase_enzyme_ca2_core_full,eval_split_csv,config/ligand_eval_splits_blind_ca2_zn_v1.csv,missing,todo,P0,"Need fit/far_ood_eval roles frozen before execution."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set1_core_blind,non_kinase_enzyme_ca2_core_full,ligand_meta_csv,config/ligand_meta_blind_ca2_zn_v1.csv,missing,todo,P0,"Need smiles and physicochemical metadata."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set1_core_blind,non_kinase_enzyme_ca2_core_full,target_meta_csv,config/ligand_target_metadata_blind_ca2_zn_v1.csv,missing,todo,P0,"Need target family, sequence, catalytic-metal metadata, and pocket fingerprint."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set1_core_blind,non_kinase_enzyme_ca2_core_full,profile_json,config/ligand_htvs_blind_ca2_zn_v1.json,missing,todo,P0,"Clone a ligand blind profile only after target/reference/meta/eval CSVs exist."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set2_expanded_ood,non_kinase_enzyme_ca2_chembl50_full,ood_reference_csv,config/ligand_binding_reference_blind_ca2_zn_chembl50_v1.csv,missing,todo,P0,"Need larger external-style ligand packet for CA2."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set2_expanded_ood,non_kinase_enzyme_ca2_chembl50_full,ood_eval_split_csv,config/ligand_eval_splits_blind_ca2_zn_chembl50_v1.csv,missing,todo,P0,"Freeze far_ood_eval roles before execution."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set2_expanded_ood,non_kinase_enzyme_ca2_chembl50_full,ood_ligand_meta_csv,config/ligand_meta_blind_ca2_zn_chembl50_v1.csv,missing,todo,P0,"Need smiles and physicochemical metadata for OOD ligand packet."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set2_expanded_ood,non_kinase_enzyme_ca2_chembl50_full,ood_profile_json,config/ligand_htvs_blind_ca2_zn_chembl50_v1.json,missing,todo,P0,"Clone OOD profile only after CA2 OOD ligand packet exists."
non_kinase_enzyme,Carbonic_Anhydrase_2_Zn,primary,set3_operational_smoke,non_kinase_enzyme_ca2_smoke,smoke_task_binding,set3 uses same profile with ligand_sizes=64,governance pattern already exists,todo,P1,"Prefer same core profile JSON; smoke remains a set-spec concern rather than a separate profile."
non_kinase_enzyme,non_kinase_enzyme,family_level,all,external_validation_biorxiv_non_kinase_enzyme_ca2_v1_template,protocol_json,config/external_validation_biorxiv_non_kinase_enzyme_ca2_v1_template.json,governance pattern already exists,todo,P0,"Copy current set1/set2/set3 pattern and replace task rows with CA2 family tasks."
non_kinase_enzyme,non_kinase_enzyme,family_level,all,external_validation_biorxiv_non_kinase_enzyme_ca2_v1_template,metal_policy_note,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,decision pending,todo,P0,"Freeze whether the first CA2 pass is governance-only or already claims metal-aware scorer behavior."
non_kinase_enzyme,Dihydrofolate Reductase,backup,set1_core_blind,non_kinase_enzyme_dhfr_core_full,target_native_csv,config/real_drug_targets_blind_dhfr_v1.csv,native structure present,todo,P1,"Use as backup if CA2 ligand packet stalls; needs full blind ligand governance packet."
non_kinase_enzyme,Dihydrofolate Reductase,backup,set2_expanded_ood,non_kinase_enzyme_dhfr_chembl50_full,backup_candidate_review,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,native structure present,optional,P2,"Strong fallback candidate but currently only structure-ready."
non_kinase_enzyme,Fructose-1,6-bisphosphatase 1,backup,set1_core_blind,non_kinase_enzyme_fbp1_core_full,target_native_csv,config/real_drug_targets_blind_fbp1_v1.csv,native structure present,todo,P1,"Backup candidate with native asset; still missing blind ligand packet."
non_kinase_enzyme,Fructose-1,6-bisphosphatase 1,backup,set2_expanded_ood,non_kinase_enzyme_fbp1_chembl50_full,backup_candidate_review,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,native structure present,optional,P2,"Use if CA2 and DHFR both stall on ligand-packet assembly."
non_kinase_enzyme,L-Lactate Dehydrogenase A Chain,backup,set1_core_blind,non_kinase_enzyme_ldha_core_full,target_native_csv,config/real_drug_targets_blind_ldha_v1.csv,native structure present,todo,P1,"Backup candidate with native asset; still missing blind ligand packet."
non_kinase_enzyme,L-Lactate Dehydrogenase A Chain,backup,set2_expanded_ood,non_kinase_enzyme_ldha_chembl50_full,backup_candidate_review,docs/non_kinase_enzyme_ca2_expansion_scaffold.md,native structure present,optional,P2,"Use if a metabolism-oriented enzyme target is preferred after CA2."
