operator_priority,row_rank,benchmark_id,target_id,scope,metric_profile,batch_row_status,batch_folder,copied_row_scaffold,row_metadata_template_csv,row_fill_template_csv,task_md,missing_evidence_item_count,missing_file_count,missing_ablation_layer_file_count,missing_provenance_field_count,missing_calibration_field_count,missing_native_metric_gate_count,next_action,blockers
1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_scaffold,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_001_REQUIRED_MONOMER_001 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_scaffold,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_002_REQUIRED_MONOMER_002 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
3,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_scaffold,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_003_REQUIRED_MONOMER_003 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
4,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_scaffold,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_004_REQUIRED_MONOMER_004 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
5,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_scaffold,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_005_REQUIRED_MONOMER_005 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_scaffold,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_006_REQUIRED_MONOMER_006 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_scaffold,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_007_REQUIRED_MONOMER_007 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_scaffold,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_008_REQUIRED_MONOMER_008 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
9,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_scaffold,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_009_REQUIRED_MONOMER_009 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,"TM,GDT_TS,CA_lDDT",ready_for_fill,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_scaffold,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_metadata_template.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/TASK.md,32,12,10,10,6,3,Replace placeholder target identity and row metadata in runs/casp17_win_tier_benchmark_input_scaffold_current/row_010_REQUIRED_MONOMER_010 with a cleared historical non-current CASP target.,"placeholder_target_id,evidence_items_missing"
