operator_priority,row_rank,benchmark_id,target_id,scope,template_row_status,batch_folder,copied_row_scaffold,candidate_source,candidate_source_type,row_fill_csv,missing_file_count,placeholder_file_path_count,provenance_blocker_count,calibration_blocker_count,blockers
1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,blocked,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_scaffold,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,blocked,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_scaffold,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
3,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,blocked,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_scaffold,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
4,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,blocked,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_scaffold,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
5,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,blocked,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_scaffold,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,blocked,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_scaffold,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,blocked,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_scaffold,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,blocked,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_scaffold,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
9,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,blocked,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_scaffold,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,blocked,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_scaffold,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_metadata_template.csv,template,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,0,12,10,6,"best_model_rank_requires_rank_1_to_5,best_native_metric_requires_numeric,best_score_requires_numeric,current_casp17_target_must_be_false,forcefield_minimized_prediction_pdb_placeholder,leakage_clearance_requires_no_leak_clearance,native_pdb_placeholder,native_release_date_requires_iso_date,operator_clearance_requires_no_leak_clearance,other_team_model_used_must_be_false,placeholder_benchmark_id,placeholder_target_id,polar_refined_prediction_pdb_placeholder,post_release_information_used_must_be_false,prediction_before_native_release_confirmation_required,prediction_created_at_requires_iso_date,prediction_method_required,prediction_pdb_placeholder,public_template_or_native_used_for_prediction_must_be_false,recursive_prediction_pdb_placeholder,rotamer_minimized_prediction_pdb_placeholder,scored_prediction_pdb_placeholder,selected_model_rank_requires_rank_1_to_5,selected_native_metric_requires_numeric,selected_score_requires_numeric,sidechain_completed_prediction_pdb_placeholder,sidechain_repacked_prediction_pdb_placeholder,sidechain_scaffold_prediction_pdb_placeholder,statistical_rotamer_prediction_pdb_placeholder,steric_relaxed_prediction_pdb_placeholder"
