target_id,benchmark_id,field_name,required_value_policy,field_gate_status,first_blocker,operator_value_status,operator_clearance_status,policy_status,evidence_request_kind,required_operator_value_format,accepted_value_examples,unacceptable_sources,weak_local_hint,weak_local_hint_source,intake_csv,packet_folder,evidence_stub_md,packet_status,next_action
HIST_CHIGNOLIN,hist_seed_chignolin,no_leak_evidence_ref,independent_no_leak_evidence_ref_required,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,independent_no_leak_evidence,path-or-uri for an independent no-leak provenance dossier,internal run ledger; archived job record; signed lab notebook; immutable timestamp evidence,local path name only; file mtime only; memory-only assertion,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/no_leak_evidence_ref.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/no_leak_evidence_ref.md, then fill operator_value and operator_clearance for no_leak_evidence_ref in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,leakage_clearance,clear,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,no_leak_clearance_decision,clear,clear after evidence review and negative controls,unclear; pass; unchecked; local timestamp only,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/leakage_clearance.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/leakage_clearance.md, then fill operator_value and operator_clearance for leakage_clearance in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,operator_clearance,operator_cleared,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,operator_signoff,operator_cleared,operator_cleared with evidence reference and operator id,blank; auto; implied by script output,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator_clearance.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator_clearance.md, then fill operator_value and operator_clearance for operator_clearance in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,operator,operator_id,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,operator_identity,stable operator id or initials,operator handle tied to the clearance record,anonymous; script; system,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator.md, then fill operator_value and operator_clearance for operator in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,prediction_created_at,iso_date,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,authoritative_prediction_creation_date,YYYY-MM-DD,pre-native job ledger date; archived filesystem snapshot date; signed run manifest date,current file mtime; copied folder date without source evidence,2026-02-19,prediction_path_date,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_created_at.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_created_at.md, then fill operator_value and operator_clearance for prediction_created_at in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,native_release_date,authoritative_release_iso_date,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,authoritative_native_release_date,YYYY-MM-DD,RCSB release date; journal/source release date; official structure archive date,download date; local file mtime,2026-02-12,native_file_mtime_not_release_authority,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/native_release_date.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/native_release_date.md, then fill operator_value and operator_clearance for native_release_date in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,prediction_generated_before_native_release,true,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,chronology_comparison,true,true with prediction_created_at earlier than authoritative native_release_date,true without dates; post-native prediction,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_generated_before_native_release.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_generated_before_native_release.md, then fill operator_value and operator_clearance for prediction_generated_before_native_release in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,public_template_or_native_used_for_prediction,false,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,negative_control_public_template,false,false with method/run evidence showing no native/template use,unknown; not checked,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/public_template_or_native_used_for_prediction.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/public_template_or_native_used_for_prediction.md, then fill operator_value and operator_clearance for public_template_or_native_used_for_prediction in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,other_team_model_used,false,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,negative_control_other_team_model,false,false with no external team model input in run manifest,unknown; external model pool used,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/other_team_model_used.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/other_team_model_used.md, then fill operator_value and operator_clearance for other_team_model_used in the no-leak intake"
HIST_CHIGNOLIN,hist_seed_chignolin,post_release_information_used,false,awaiting_operator_input,operator_value_missing,operator_value_missing,operator_clearance_missing,policy_not_checked_value_missing,negative_control_post_release_information,false,false with pre-native run evidence and no post-release sources,unknown; post-release evidence leakage,,,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/post_release_information_used.md,awaiting_operator_evidence,"collect evidence in casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/post_release_information_used.md, then fill operator_value and operator_clearance for post_release_information_used in the no-leak intake"
