seed_rank,batch_slot,benchmark_id,target_id,scope,field_board_status,core_file_status,prediction_pdb_exists,native_pdb_exists,prediction_native_distinct,prediction_atom_count,native_atom_count,prediction_coordinate_valid,native_coordinate_valid,no_leak_open_count,calibration_open_count,ablation_open_count,total_open_field_count,open_fields,first_open_field,next_action
1,1,hist_seed_bba5,HIST_BBA5,monomer,operator_field_fill_required,pass,True,True,True,92,23,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
2,2,hist_seed_chignolin,HIST_CHIGNOLIN,monomer,operator_field_fill_required,pass,True,True,True,40,10,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
3,3,hist_seed_crambin,HIST_CRAMBIN,monomer,operator_field_fill_required,pass,True,True,True,184,46,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
4,4,hist_seed_fsd_1,HIST_FSD_1,monomer,operator_field_fill_required,pass,True,True,True,112,28,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
5,5,hist_seed_gb1_mini,HIST_GB1_MINI,monomer,operator_field_fill_required,pass,True,True,True,224,56,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
6,6,hist_seed_protein_a_bdomain,HIST_PROTEIN_A_BDOMAIN,monomer,operator_field_fill_required,pass,True,True,True,240,60,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
7,7,hist_seed_trp_cage,HIST_TRP_CAGE,monomer,operator_field_fill_required,pass,True,True,True,80,20,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
8,8,hist_seed_ubiquitin_mini,HIST_UBIQUITIN_MINI,monomer,operator_field_fill_required,pass,True,True,True,304,76,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
9,9,hist_seed_villin_hp35,HIST_VILLIN_HP35,monomer,operator_field_fill_required,pass,True,True,True,140,35,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
10,10,hist_seed_ww_domain_fip35,HIST_WW_DOMAIN_FIP35,monomer,operator_field_fill_required,pass,True,True,True,140,35,True,True,10,6,1,17,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used,selected_model_rank,best_model_rank,selected_native_metric,best_native_metric,selected_score,best_score,ablation_manifest_ref",no_leak_evidence_ref,"fill no-leak evidence, chronology, leakage controls, and operator clearance first"
