candidate_rank,candidate_id,target_id,ligand_id,ligand_source_dataset,field_order,field_key,linked_action_id,linked_action_status,linked_action_md,current_evidence,required_artifact,evidence_request_kind,required_operator_value_format,accepted_evidence_examples,rejected_sources,metric_names,metric_bridge_row_count,metric_action_mds,packet_folder,operator_template_csv,dropzone_manifest_csv,evidence_stub_md,field_status,blocker,next_action
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,1,direct_native_or_source_authority,organic_ligand_promotion_action_002,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/002_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL4453005;chembl_target:CHEMBL2010636;chembl_document:CHEMBL4402584;chembl_assay:CHEMBL4405037;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,2,no_leak_provenance,organic_ligand_promotion_action_003,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/003_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,3,prediction_chronology,organic_ligand_promotion_action_004,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/004_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,4,ligand_pose_reference,organic_ligand_promotion_action_005,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/005_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
1,organic_ligand_slot_candidate_001,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,tcruzi_pde_external_pdeb1_010_chembl4453005,ChEMBL,5,strict_blind_slot_mapping,organic_ligand_promotion_action_009,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/009_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/007_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/01_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/008_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/01_tcruzi_pde_external_pdeb1_010_chembl4453005/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,1,direct_native_or_source_authority,organic_ligand_promotion_action_011,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/011_direct_native_or_source_authority/ACTION.md,rcsb:3V94;chain:B;doi:10.2210/pdb3v94/pdb;chembl_molecule:CHEMBL2171451;chembl_target:CHEMBL2010636;chembl_document:CHEMBL2169737;chembl_assay:CHEMBL2175366;source_scope:tbrpdeb1_lmjpdeb1_homolog_activity;local_reference:runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb,direct experimental native/source authority for the same receptor-ligand system,direct_native_or_same_system_source_authority,"path, URI, accession, or dossier for direct same receptor-ligand native/source authority",RCSB/PDB same receptor-ligand native source; source-system structure release record,homolog-only seed; generated pose; activity-only record without same-system structural authority,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/direct_native_or_source_authority.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/direct_native_or_source_authority.md, then fill operator_value, operator_evidence_ref, and operator_clearance for direct_native_or_source_authority"
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,2,no_leak_provenance,organic_ligand_promotion_action_012,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/012_no_leak_provenance/ACTION.md,"direct_tcruzi_pde_evidence_absent_homolog_seed_only,direct_tcruzi_pde_evidence_absent,homolog_seed_only,strict_blind_not_eligible,competitive_proof_not_allowed,operator_no_leak_chronology_native_authority_required",independent no-leak provenance dossier and negative controls,independent_no_leak_provenance_dossier,path or URI to no-leak dossier plus negative controls,run manifest excluding native/templates/other-team models; timestamped input ledger,local path name only; current mtime only; broad assertion without source manifest,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/no_leak_provenance.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/no_leak_provenance.md, then fill operator_value, operator_evidence_ref, and operator_clearance for no_leak_provenance"
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,3,prediction_chronology,organic_ligand_promotion_action_013,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/013_prediction_chronology/ACTION.md,strict_blind_replacement_or_authority_required,"prediction_created_at, native_release_date, before-native confirmation",prediction_before_native_chronology,"prediction_created_at, native_release_date, and explicit before-native comparison",immutable job ledger date earlier than authoritative native/source release date,post-native prediction; copied file date; true/false without source dates,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/prediction_chronology.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/prediction_chronology.md, then fill operator_value, operator_evidence_ref, and operator_clearance for prediction_chronology"
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,4,ligand_pose_reference,organic_ligand_promotion_action_014,open_operator_evidence_required,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/014_ligand_pose_reference/ACTION.md,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb,ligand pose/native interaction reference suitable for ligand metrics,metric_valid_ligand_pose_reference,native/reference receptor-ligand pose mapping with receptor chain and ligand identity,binding-site residue map; native ligand atom map; receptor chain/residue mapping,ligand-only activity label; unaligned homolog pose; template without atom identity mapping,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/ligand_pose_reference.md,awaiting_operator_evidence,open_operator_evidence_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/ligand_pose_reference.md, then fill operator_value, operator_evidence_ref, and operator_clearance for ligand_pose_reference"
2,organic_ligand_slot_candidate_002,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,tcruzi_pde_external_pdeb1_043_chembl2171451,ChEMBL,5,strict_blind_slot_mapping,organic_ligand_promotion_action_018,open_slot_mapping_required,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/018_strict_blind_slot_mapping/ACTION.md,blocked_homolog_source_no_leak_and_chronology_required,organic ligand strict-blind benchmark slot id and metric-surface row mapping,strict_blind_metric_slot_mapping,"cleared strict-blind slot id, metric scope, and operator clearance",approved organic ligand strict-blind slot after direct authority and no-leak review,homolog-only candidate; retrospective-only calibration row; unreviewed slot alias,"LDDT-PLI,BiSyRMSD",2,casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/016_lddt_pli_metric_inputs/ACTION.md;casp17/organic_ligand_slot_promotion_action_board/02_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/017_bisyrmsd_metric_inputs/ACTION.md,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/operator_evidence_template.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/dropzone_manifest.csv,casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/strict_blind_slot_mapping.md,awaiting_operator_evidence,open_slot_mapping_required,"collect evidence in casp17/organic_ligand_metric_evidence_intake/02_tcruzi_pde_external_pdeb1_043_chembl2171451/field_evidence/strict_blind_slot_mapping.md, then fill operator_value, operator_evidence_ref, and operator_clearance for strict_blind_slot_mapping"
