dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,blocker,source_row_fill_csv,row_fill_value,dropzone_class_folder,expected_drop_path,candidate_count,candidate_paths,recommended_value,patch_candidate_csv,intake_guide_md,intake_status,next_action
priority_001_REQUIRED_MONOMER_001,1,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,target_identity,benchmark_id,benchmark_id_placeholder,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,hist_REQUIRED_MONOMER_001,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/target_identity,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill benchmark_id in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,2,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,target_identity,target_id,target_id_placeholder,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,REQUIRED_MONOMER_001,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/target_identity,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill target_id in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,3,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,core_file,prediction_pdb,prediction_pdb_placeholder,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_001_prediction.pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/core,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/core/<HISTORICAL_TARGET_ID>_prediction.pdb,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_dropzone_file,place the validated no-leak local PDB in the indicated dropzone folder
priority_001_REQUIRED_MONOMER_001,4,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,core_file,native_pdb,native_pdb_placeholder,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_001_native.pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/core,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/core/<HISTORICAL_TARGET_ID>_native.pdb,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_dropzone_file,place the validated no-leak local PDB in the indicated dropzone folder
priority_001_REQUIRED_MONOMER_001,5,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,leakage_clearance,leakage_clearance_requires_no_leak_clearance,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,REQUIRED_NO_LEAK_CLEARANCE,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill leakage_clearance in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,6,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,prediction_method,prediction_method_required,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,REQUIRED_INTERNAL_METHOD,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill prediction_method in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,7,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,prediction_created_at,prediction_created_at_requires_iso_date,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,YYYY-MM-DD,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill prediction_created_at in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,8,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,native_release_date,native_release_date_requires_iso_date,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,YYYY-MM-DD,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill native_release_date in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,9,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,prediction_generated_before_native_release,prediction_before_native_release_confirmation_required,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,REQUIRED_TRUE_CONFIRMATION,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill prediction_generated_before_native_release in row_fill.csv from cleared local evidence
priority_001_REQUIRED_MONOMER_001,10,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,public_template_or_native_used_for_prediction,public_template_or_native_used_for_prediction_must_be_false,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,,0,,,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/ROW_FILL_PATCH_CANDIDATE.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/EVIDENCE_INTAKE.md,awaiting_operator_value,fill public_template_or_native_used_for_prediction in row_fill.csv from cleared local evidence
