action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,row_fill_csv,field_guide_md,evidence_class,template_column,current_value,expected_value,blocker,recommended_action,local_destination_hint
1,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,target_identity,benchmark_id,hist_REQUIRED_MONOMER_001,stable hist_* ID for a cleared historical benchmark row,benchmark_id_placeholder,replace with a stable hist_* ID for the chosen cleared historical target,
2,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,target_identity,target_id,REQUIRED_MONOMER_001,cleared historical non-CASP17 target ID,target_id_placeholder,replace placeholder with a cleared historical non-current CASP target ID,
3,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,core_file,prediction_pdb,runs/casp17_historical_benchmark_predictions_current/REQUIRED_MONOMER_001_prediction.pdb,local internally generated prediction PDB made before native release,prediction_pdb_placeholder,place a validated local PDB at runs/casp17_historical_benchmark_predictions_current/<HISTORICAL_TARGET_ID>_prediction.pdb and update row_fill.csv,runs/casp17_historical_benchmark_predictions_current/<HISTORICAL_TARGET_ID>_prediction.pdb
4,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,core_file,native_pdb,runs/casp17_historical_benchmark_natives_current/REQUIRED_MONOMER_001_native.pdb,local released historical native PDB after no-leak review,native_pdb_placeholder,place a validated local PDB at runs/casp17_historical_benchmark_natives_current/<HISTORICAL_TARGET_ID>_native.pdb and update row_fill.csv,runs/casp17_historical_benchmark_natives_current/<HISTORICAL_TARGET_ID>_native.pdb
5,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,provenance,leakage_clearance,REQUIRED_NO_LEAK_CLEARANCE,no_leak / cleared / internal_no_leak,leakage_clearance_requires_no_leak_clearance,record no_leak/cleared only after no-leak provenance review,
6,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,provenance,prediction_method,REQUIRED_INTERNAL_METHOD,internal method identifier,prediction_method_required,record the internal prediction method used before native release,
7,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,provenance,prediction_created_at,YYYY-MM-DD,YYYY-MM-DD,prediction_created_at_requires_iso_date,replace with an ISO date and ensure prediction_created_at is before native_release_date,
8,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,provenance,native_release_date,YYYY-MM-DD,YYYY-MM-DD,native_release_date_requires_iso_date,replace with an ISO date and ensure prediction_created_at is before native_release_date,
9,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,provenance,prediction_generated_before_native_release,REQUIRED_TRUE_CONFIRMATION,true,prediction_before_native_release_confirmation_required,set to true only when the date/provenance evidence supports it,
10,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/FIELD_GUIDE.md,provenance,public_template_or_native_used_for_prediction,REQUIRED_FALSE_CONFIRMATION,false,public_template_or_native_used_for_prediction_must_be_false,set to false only after the no-leak review supports that confirmation,
