fill_id,request_id,candidate_target_id,candidate_scope,request_kind,field_key,operator_template_csv,operator_value,operator_evidence_ref,value_status,evidence_status,fill_status,first_blocker,next_action
source_request_operator_fill_001,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,source_id,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for source_id
source_request_operator_fill_002,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,prediction_pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_pdb
source_request_operator_fill_003,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,prediction_pdb_dropzone,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_not_required,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_pdb_dropzone
source_request_operator_fill_004,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,prediction_created_at,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_created_at
source_request_operator_fill_005,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for native_release_date
source_request_operator_fill_006,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,prediction_created_at/native_release_date,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_not_required,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_created_at/native_release_date
source_request_operator_fill_007,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,native_authority_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for native_authority_ref
source_request_operator_fill_008,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,creation_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for creation_evidence_ref
source_request_operator_fill_009,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,no_leak_evidence_ref,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for no_leak_evidence_ref
source_request_operator_fill_010,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,method_summary,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for method_summary
source_request_operator_fill_011,source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,operator_clearance,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for operator_clearance
source_request_operator_fill_012,source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,source_id,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for source_id
source_request_operator_fill_013,source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,prediction_pdb,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,,,operator_value_missing,evidence_required_missing,awaiting_operator_value,operator_value_missing,fill operator_value for prediction_pdb
