dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,current_value,recommended_value,patch_status,apply_status,blocker,apply_plan_csv,apply_plan_md,next_action
priority_012_REQUIRED_COMPLEX_002,331,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,hist_REQUIRED_COMPLEX_002,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,332,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,target_identity,target_id,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_COMPLEX_002,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,333,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,runs/casp17_historical_benchmark_predictions_current/REQUIRED_COMPLEX_002_prediction.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,334,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,runs/casp17_historical_benchmark_natives_current/REQUIRED_COMPLEX_002_native.pdb,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,335,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_NO_LEAK_CLEARANCE,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,336,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_INTERNAL_METHOD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,337,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,YYYY-MM-DD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,338,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,YYYY-MM-DD,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,339,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_TRUE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,340,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,341,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,other_team_model_used,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,342,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,post_release_information_used,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
priority_012_REQUIRED_COMPLEX_002,343,12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,provenance,current_casp17_target,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,REQUIRED_FALSE_CONFIRMATION,,awaiting_evidence,awaiting_evidence,awaiting_evidence,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/ROW_FILL_APPLY_PLAN.md,"wait for cleared evidence, then rerun intake and patch gate"
